Estado,Leche (miles de litros),Unnamed: 2_level_0,Unnamed: 3_level_0,Carne en canal (toneladas),Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Otros productos,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Año,Mes-Año
Unnamed: 0_level_1,Bovino,Caprino,Total,Bovino,Porcino,Ovino,Caprino,Ave,Guajolote,Total,Huevo para plato,Miel,Cera en greña,Lana sucia,Unnamed: 15_level_1,Unnamed: 16_level_1
Región Lagunera,255362.22,5196.66,260558.87,11837.51,429.35,21.577,195.734,33579.35,,46063.53,11498.04,16.358,0.414,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Delegación Coahuila,2725.03,1048.79,3773.82,1830.58,120.149,66.919,178.412,198.898,,2394.96,1281.98,36.896,0.742,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Delegación Durango,9618.31,35.12,9653.43,3674.53,289.226,33.924,30.474,32.408,,4060.56,145.902,,,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Laguna-Coahuila,130886.34,2991.45,133877.79,3150.32,337.338,6.334,145.151,8460.24,,12099.38,4496.18,4.175,0.098,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Laguna-Durango,124475.88,2205.2,126681.08,8687.2,92.012,15.243,50.583,25119.12,,33964.15,7001.86,12.183,0.316,,2025,Diciembre_2025Avance mensual de la producción pecuaria (1).xls.xlsx
Aguascalientes,36759.16,,36759.16,3432.94,1624.89,75.023,15.804,34369.82,,39518.48,617.283,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Baja California,18451.84,33.098,18484.94,9898.05,105.128,26.341,19.881,80.354,,10129.76,2557.45,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Baja California Sur,2429.74,361.328,2791.07,376.474,112.743,22.329,38.114,75.25,,624.91,85.048,3.539,0.064,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Campeche,4030.65,4.799,4035.44,2132.06,565.873,161.347,3.993,2427.3,57.824,5348.39,409.44,880.83,10.157,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Coahuila,133647.79,3487.78,137135.57,4467.14,476.813,65.095,272.566,8268.98,,13550.6,5358.86,37.093,0.754,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Colima,2375.31,0.231,2375.54,796.639,838.602,12.467,7.522,1410.27,0.368,3065.87,162.55,282.03,7.129,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Chiapas,41622.31,,41622.31,10150.66,3410.79,197.988,,25260.89,105.184,39125.51,468.437,1530.99,22.024,10.946,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Chihuahua,98250.0,536.446,98786.44,8545.31,718.622,127.349,36.482,289.368,63.971,9781.11,423.28,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Ciudad de México,838.502,,838.502,48.459,128.598,15.25,,6.82,,199.127,4.8,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Durango,128447.71,2012.75,130460.46,10395.76,357.694,43.408,51.598,23930.3,,34778.75,6524.53,38.821,0.858,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Guanajuato,74594.12,3330.35,77924.47,5488.27,12123.38,208.657,122.61,19676.64,,37619.55,5673.61,54.221,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Guerrero,9103.11,,9103.11,4051.73,2177.55,122.206,307.484,1172.08,103.051,7934.1,741.083,636.444,15.339,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Hidalgo,30670.06,4.36,30674.42,2745.69,1690.76,712.718,63.943,8426.75,120.564,13760.42,520.705,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
México,35279.51,,35279.51,3928.58,2513.67,1060.42,42.162,13990.84,268.811,21804.48,1363.51,137.507,2.495,19.85,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Michoacán,32124.07,361.887,32485.95,9206.67,4689.38,198.246,214.009,7050.76,9.982,21369.05,1685.94,782.274,21.814,16.648,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Morelos,1692.41,,1692.41,616.176,472.477,63.638,51.105,6143.43,,7346.82,60.01,1096.94,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Nayarit,3362.75,,3362.75,1706.05,483.952,22.844,11.644,3562.42,,5786.91,1959.86,149.951,3.071,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Nuevo León,1101.61,369.203,1470.82,6636.44,1713.94,220.407,237.378,6672.12,,15480.29,9603.75,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Oaxaca,14381.12,,14381.12,5916.08,2623.61,224.207,322.477,1294.59,62.694,10443.65,580.743,1087.85,25.88,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Querétaro,34244.32,194.439,34438.76,3300.19,2445.42,110.262,18.367,39319.98,7.875,45202.09,1616.58,10.25,0.201,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Quintana Roo,570.794,1.34,572.134,411.344,377.427,51.68,2.424,647.973,14.259,1505.11,42.931,208.609,4.813,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
San Luis Potosí,13161.94,408.116,13570.06,12255.47,2765.29,254.473,316.509,9670.8,14.981,25277.53,9486.12,330.815,8.47,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Sinaloa,8429.81,,8429.81,10589.15,2123.43,120.327,98.377,14716.86,,27648.14,6620.44,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Tabasco,5911.62,,5911.62,5289.55,1523.52,31.797,,2583.06,132.815,9560.75,121.434,34.152,0.764,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Tamaulipas,1692.24,6.533,1698.78,3793.69,879.666,120.104,109.544,37.841,,4940.84,80.094,22.0,0.627,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Tlaxcala,6655.2,125.244,6780.44,815.551,1176.98,342.798,32.603,92.332,41.154,2501.42,135.677,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Veracruz,67004.09,173.318,67177.41,25681.68,17232.26,519.226,59.851,58263.65,142.46,101899.12,1526.44,321.61,9.856,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Zacatecas,16410.76,597.84,17008.6,4326.55,998.158,363.164,400.169,324.771,2.243,6415.06,452.429,56.209,1.21,2.272,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Total nacional,1121481.73,13106.92,1134588.64,193494.96,170982.45,6474.44,3333.98,373072.33,1749.28,749107.44,265978.5,10759.92,195.311,78.393,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Región Lagunera,251558.58,4670.02,256228.6,9842.69,432.163,19.552,140.506,31996.35,,42431.26,10532.25,,,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
Delegación Coahuila,2312.6,830.513,3143.12,1906.96,123.714,58.957,159.343,168.256,,2417.23,1180.19,37.093,0.754,,2024,Enero_2024Avance mensual de la producción pecuaria.xls.xlsx
